id,x,y,plot_id
129,409112.307668061,3659516.8858091063,12D1001
130,409112.307668061,3659516.8858091063,12D1001
131,409112.307668061,3659516.8858091063,12D1001
132,409112.307668061,3659516.8858091063,12D1001
133,409112.09296988294,3659516.887800238,12D1001
134,409112.09296988294,3659516.887800238,12D1001
135,409112.09296988294,3659516.887800238,12D1001
136,409112.09296988294,3659516.887800238,12D1001
137,409111.8877092283,3659516.90079159,12D1001
138,409111.8877092283,3659516.90079159,12D1001
139,409111.8877092283,3659516.90079159,12D1001
140,409111.8877092283,3659516.90079159,12D1001
141,409111.69178327726,3659516.9136963757,12D1001
142,409111.69178327726,3659516.9136963757,12D1001
143,409111.69178327726,3659516.9136963757,12D1001
144,409111.69178327726,3659516.9136963757,12D1001
145,409111.4957545082,3659516.915514378,12D1001
146,409111.4957545082,3659516.915514378,12D1001
147,409111.4957545082,3659516.915514378,12D1001
148,409111.4957545082,3659516.915514378,12D1001
149,409111.2997257368,3659516.917332382,12D1001
150,409111.2997257368,3659516.917332382,12D1001
151,409111.2997257368,3659516.917332382,12D1001
152,409111.2997257368,3659516.917332382,12D1001
153,409111.1035941441,3659516.908063603,12D1001
154,409111.1035941441,3659516.908063603,12D1001
155,409111.1035941441,3659516.908063603,12D1001
156,409111.1035941441,3659516.908063603,12D1001
157,409110.90756537236,3659516.9098816165,12D1001
158,409110.90756537236,3659516.9098816165,12D1001
159,409110.90756537236,3659516.9098816165,12D1001
160,409110.90756537236,3659516.9098816165,12D1001
161,409110.73030882975,3659516.9226132776,12D1001
162,409110.73030882975,3659516.9226132776,12D1001
163,409110.73030882975,3659516.9226132776,12D1001
164,409110.73030882975,3659516.9226132776,12D1001
165,409110.5342800593,3659516.9244312984,12D1001
166,409110.5342800593,3659516.9244312984,12D1001
167,409110.5342800593,3659516.9244312984,12D1001
168,409110.5342800593,3659516.9244312984,12D1001
169,409110.35692069517,3659516.9260761766,12D1001
170,409110.35692069517,3659516.9260761766,12D1001
171,409110.35692069517,3659516.9260761766,12D1001
172,409110.35692069517,3659516.9260761766,12D1001
173,409110.1702266266,3659516.9278076324,12D1001
174,409110.1702266266,3659516.9278076324,12D1001
175,409110.1702266266,3659516.9278076324,12D1001
176,409110.1702266266,3659516.9278076324,12D1001
177,409109.9834297368,3659516.918452303,12D1001
178,409109.9834297368,3659516.918452303,12D1001
179,409109.9834297368,3659516.918452303,12D1001
180,409109.9834297368,3659516.918452303,12D1001
181,409109.7872981421,3659516.90918355,12D1001
182,409109.7872981421,3659516.90918355,12D1001
183,409109.7872981421,3659516.90918355,12D1001
184,409109.7872981421,3659516.90918355,12D1001
185,409109.5911665469,3659516.8999148025,12D1001
186,409109.5911665469,3659516.8999148025,12D1001
187,409109.5911665469,3659516.8999148025,12D1001
188,409109.5911665469,3659516.8999148025,12D1001
189,409109.39513777674,3659516.901732846,12D1001
190,409109.39513777674,3659516.901732846,12D1001
191,409109.39513777674,3659516.901732846,12D1001
192,409109.39513777674,3659516.901732846,12D1001
