species,longitude,latitude
Abies amabilis,-130.416666700000007,53.9666666999999975
Abies amabilis,-123.177499999999995,46.9183299999999974
Abies amabilis,-120.876390000000001,47.3722199999999987
Abies amabilis,-121.430000000000007,47.3599999999999994
Abies amabilis,-121.790000000000006,44.7899999999999991
Abies amabilis,-121.469999999999999,45.3299999999999983
Abies amabilis,-121.359999999999999,46.7999999999999972
Abies amabilis,-121.299999999999997,47.3599999999999994
Abies amabilis,-121.069999999999993,47.7199999999999989
Abies amabilis,-120.780000000000001,47.8699999999999974
Abies amabilis,-121.329999999999998,46.7999999999999972
Abies amabilis,-120.760000000000005,47.9500000000000028
Abies amabilis,-120.780000000000001,47.8699999999999974
Abies amabilis,-121.209999999999994,47.5399999999999991
Abies amabilis,-120.769999999999996,47.9099999999999966
Abies amabilis,-121.040000000000006,47.7000000000000028
Abies amabilis,-121.810000000000002,45.9399999999999977
Abies amabilis,-121.209999999999994,47.3299999999999983
Abies amabilis,-121.640000000000001,45.3999999999999986
Abies amabilis,-121.549999999999997,45.2999999999999972
Abies amabilis,-121.170000000000002,47.4200000000000017
Abies amabilis,-121.739999999999995,45.3800000000000026
Abies amabilis,-120.969999999999999,47.8299999999999983
Abies amabilis,-121.430000000000007,46.6400000000000006
Abies amabilis,-121.769999999999996,44.8699999999999974
Abies amabilis,-121.290000000000006,46.8100000000000023
Abies amabilis,-121.260000000000005,47.0799999999999983
Abies amabilis,-121.760000000000005,46.0399999999999991
Abies amabilis,-121.280000000000001,47.3599999999999994
Abies amabilis,-121.310000000000002,47.0900000000000034
Abies amabilis,-120.819999999999993,48.009999999999998
Abies amabilis,-121.409999999999997,46.6099999999999994
Abies amabilis,-121.409999999999997,46.7100000000000009
Abies amabilis,-121.640000000000001,46.1799999999999997
Abies amabilis,-121.260000000000005,47.2100000000000009
Abies amabilis,-120.549999999999997,48.3400000000000034
Abies amabilis,-121.25,46.7299999999999969
Abies amabilis,-121,47.8200000000000003
Abies amabilis,-121.299999999999997,47.3599999999999994
Abies amabilis,-121.019999999999996,47.4799999999999969
Abies amabilis,-120.739999999999995,48.7100000000000009
Abies amabilis,-121.549999999999997,45.3299999999999983
Abies amabilis,-121.409999999999997,46.6499999999999986
Abies amabilis,-121.239999999999995,47.2800000000000011
Abies amabilis,-121.409999999999997,46.8999999999999986
Abies amabilis,-121.280000000000001,47.2899999999999991
Abies amabilis,-120.810000000000002,48.6000000000000014
Abies amabilis,-121.739999999999995,45.3699999999999974
Abies amabilis,-121.310000000000002,47.2199999999999989
Abies amabilis,-121.890000000000001,45.1499999999999986
Abies amabilis,-121.219999999999999,47.0300000000000011
Abies amabilis,-120.890000000000001,48.7199999999999989
Abies amabilis,-120.730000000000004,48.6599999999999966
Abies amabilis,-121.060000000000002,47.7299999999999969
Abies amabilis,-120.390000000000001,48.2700000000000031
Abies amabilis,-121.780000000000001,45.0799999999999983
Abies amabilis,-121.950000000000003,45.1000000000000014
Abies amabilis,-121.019999999999996,47.759999999999998
Abies amabilis,-121.739999999999995,45.9699999999999989
Abies amabilis,-120.810000000000002,48.6000000000000014
Abies amabilis,-121.260000000000005,47.2100000000000009
Abies amabilis,-121.909999999999997,46.2700000000000031
Abies amabilis,-121.530000000000001,45.3400000000000034
Abies amabilis,-121.430000000000007,47.3599999999999994
Abies amabilis,-121.290000000000006,47.0300000000000011
Abies amabilis,-121.060000000000002,47.7299999999999969
Abies amabilis,-121.109999999999999,47.4099999999999966
Abies amabilis,-121.829999999999998,45.9600000000000009
Abies amabilis,-121.409999999999997,46.1499999999999986
Abies amabilis,-120.810000000000002,48
Abies amabilis,-121.120000000000005,46.7299999999999969
Abies amabilis,-121.260000000000005,47.0300000000000011
Abies amabilis,-121.739999999999995,45.9699999999999989
Abies amabilis,-121.510000000000005,46.6799999999999997
Abies amabilis,-121.709999999999994,45.3999999999999986
Abies amabilis,-121.290000000000006,47.0300000000000011
Abies amabilis,-121.060000000000002,47.7299999999999969
Abies amabilis,-121.609999999999999,45.2999999999999972
Abies amabilis,-121.379999999999995,46.6400000000000006
Abies amabilis,-121.310000000000002,46.8299999999999983
Abies amabilis,-121.260000000000005,47.0499999999999972
Abies amabilis,-121.209999999999994,47.3299999999999983
Abies amabilis,-121.319999999999993,47.259999999999998
Abies amabilis,-120.939999999999998,47.9600000000000009
Abies amabilis,-120.629999999999995,48.9200000000000017
Abies amabilis,-121.659999999999997,45.990000000000002
Abies amabilis,-121.359999999999999,46.7999999999999972
Abies amabilis,-121.299999999999997,46.5499999999999972
Abies amabilis,-121.310000000000002,47.2199999999999989
Abies amabilis,-121.439999999999998,46.9099999999999966
Abies amabilis,-121.359999999999999,46.8200000000000003
Abies amabilis,-120.629999999999995,48.9200000000000017
Abies amabilis,-121.290000000000006,47.0499999999999972
Abies amabilis,-121.760000000000005,46.0200000000000031
Abies amabilis,-121.519999999999996,45.3999999999999986
Abies amabilis,-120.969999999999999,46.990000000000002
Abies amabilis,-120.769999999999996,48.9600000000000009
Abies amabilis,-120.780000000000001,48.5600000000000023
Abies amabilis,-120.819999999999993,48.009999999999998
Abies amabilis,-121.129999999999995,47.4099999999999966
Abies amabilis,-121.769999999999996,45.5499999999999972
Abies amabilis,-121.060000000000002,47.7999999999999972
Abies amabilis,-122.140000000000001,45
Abies amabilis,-121.269999999999996,46.5600000000000023
Abies amabilis,-120.609999999999999,48.4200000000000017
Abies amabilis,-121.329999999999998,46.7999999999999972
Abies amabilis,-121.299999999999997,47.3800000000000026
Abies amabilis,-121.530000000000001,45.2899999999999991
Abies amabilis,-121.040000000000006,47.7999999999999972
Abies amabilis,-121.310000000000002,47.2199999999999989
Abies amabilis,-120.579999999999998,48.490000000000002
Abies amabilis,-121.739999999999995,46.0399999999999991
Abies amabilis,-121.510000000000005,46.4600000000000009
Abies amabilis,-121.829999999999998,45.9399999999999977
Abies amabilis,-121.040000000000006,47.7800000000000011
Abies amabilis,-121.290000000000006,47.0300000000000011
Abies amabilis,-121.290000000000006,47.0799999999999983
Abies amabilis,-121.049999999999997,47.7700000000000031
Abies amabilis,-121.760000000000005,46.0300000000000011
Abies amabilis,-121.680000000000007,45.4099999999999966
Abies amabilis,-121.260000000000005,46.5399999999999991
Abies amabilis,-120.640000000000001,48.0200000000000031
Abies amabilis,-122.010000000000005,45.1099999999999994
Abies amabilis,-120.569999999999993,48.490000000000002
Abies amabilis,-120.950000000000003,47.8299999999999983
Abies amabilis,-121.140000000000001,46.8999999999999986
Abies amabilis,-121.780000000000001,44.7800000000000011
Abies amabilis,-120.730000000000004,48.5300000000000011
Abies amabilis,-121.310000000000002,46.8100000000000023
Abies amabilis,-121.359999999999999,46.8200000000000003
Abies amabilis,-121.209999999999994,47.5399999999999991
Abies amabilis,-121.260000000000005,47.1599999999999966
Abies amabilis,-121.780000000000001,44.759999999999998
Abies amabilis,-121.299999999999997,46.5499999999999972
Abies amabilis,-121.109999999999999,47.4099999999999966
Abies amabilis,-120.650000000000006,48.509999999999998
Abies amabilis,-121.430000000000007,46.7100000000000009
Abies amabilis,-120.739999999999995,48.5300000000000011
Abies amabilis,-120.760000000000005,48.5399999999999991
Abies amabilis,-121.709999999999994,45.4699999999999989
Abies amabilis,-121.120000000000005,46.7100000000000009
Abies amabilis,-120.609999999999999,48.4200000000000017
Abies amabilis,-121,47.7999999999999972
Abies amabilis,-120.569999999999993,48.5200000000000031
Abies amabilis,-120.780000000000001,47.9500000000000028
