utc_tstamp,longitude,latitude,heading,elevation
1438936959.2,-96.6191598,39.1328326,3.1725923645,312.29
1438936959.4,-96.6191597,39.1328327,3.1710724373,312.29
1438936959.6,-96.6191598,39.1328327,3.1718790164,312.29
1438936959.8,-96.6191597,39.1328327,3.1718433159,312.29
1438936960,-96.6191597,39.1328327,3.1710892238,312.3
1438936960.2,-96.6191598,39.1328326,3.1711060298,312.3
1438936960.4,-96.6191598,39.1328327,3.1710306025,312.29
1438936960.6,-96.6191598,39.1328326,3.1718617715,312.3
1438936960.8,-96.6191598,39.1328326,3.1726100247,312.29
1438937001,-96.6191598,39.1328326,3.1725923645,312.3
1438937001.2,-96.6191598,39.1328326,3.1718617715,312.3
1438937001.4,-96.6191597,39.1328327,3.1718605401,312.29
1438937001.6,-96.6191597,39.1328327,3.1725923645,312.29
1438937001.8,-96.6191597,39.1328327,3.1733635171,312.29
1438937002,-96.6191597,39.1328327,3.1725152383,312.29
1438937002.2,-96.6191597,39.1328326,3.1725923645,312.29
1438937002.4,-96.6191598,39.1328327,3.1717854997,312.29
1438937002.6,-96.6191598,39.1328326,3.1725747243,312.3
1438937002.8,-96.6191598,39.1328326,3.1725328339,312.3
1438937003,-96.6191598,39.1328326,3.1725152383,312.3
1438937003.2,-96.6191598,39.1328326,3.1710892242,312.3
1438937003.4,-96.6191598,39.1328326,3.1726100247,312.3
1438937003.6,-96.6191598,39.1328327,3.1718790164,312.29
1438937003.8,-96.6191598,39.1328326,3.172687398,312.3
1438937004,-96.6191598,39.1328326,3.1718383342,312.3
1438937004.2,-96.6191598,39.1328326,3.1718383342,312.3
1438937004.4,-96.6191598,39.1328326,3.1732867766,312.29
1438937004.6,-96.6191598,39.1328326,3.1733060996,312.29
1438937004.8,-96.6191598,39.1328326,3.1718026816,312.29
1438937005,-96.6191598,39.1328326,3.1726696725,312.29
1438937005.2,-96.6191598,39.1328327,3.1710306025,312.29
1438937005.4,-96.6191598,39.1328326,3.1725328339,312.29
1438937005.6,-96.6191598,39.1328326,3.1718198827,312.3
1438937005.8,-96.6191598,39.1328326,3.1718198827,312.3
1438937006,-96.6191598,39.1328327,3.1710892238,312.3
1438937006.2,-96.6191598,39.1328326,3.1718198827,312.3
1438937006.4,-96.6191598,39.1328326,3.1718617715,312.3
1438937006.6,-96.6191598,39.1328326,3.1718026816,312.29
1438937006.8,-96.6191598,39.1328326,3.1725923645,312.3
1438937007,-96.6191598,39.1328326,3.1717855001,312.29
1438937007.2,-96.6191598,39.1328326,3.1711060298,312.3
1438937007.4,-96.6191598,39.1328326,3.1703341769,312.3
1438937007.6,-96.6191598,39.1328326,3.1711060295,312.3
1438937007.8,-96.6191598,39.1328326,3.1718790168,312.3
1438937008,-96.6191598,39.1328326,3.1710892242,312.3
1438937008.2,-96.6191598,39.1328326,3.1711828404,312.3
1438937008.4,-96.6191598,39.1328326,3.1725923645,312.29
1438937008.6,-96.6191598,39.1328326,3.1733648092,312.29
1438937008.8,-96.6191598,39.1328326,3.1733228652,312.29
1438937009,-96.6191598,39.1328326,3.1718026816,312.29
1438937009.2,-96.6191598,39.1328326,3.1734010296,312.29
1438937009.4,-96.6191598,39.1328326,3.1711240567,312.3
1438937009.6,-96.6191598,39.1328326,3.1725923645,312.3
1438937009.8,-96.6191598,39.1328326,3.1725923645,312.3
1438937010,-96.6191598,39.1328326,3.1718790168,312.3
1438937010.2,-96.6191598,39.1328326,3.1718962817,312.3
1438937010.4,-96.6191598,39.1328327,3.1703748648,312.3
1438937010.6,-96.6191598,39.1328327,3.1718617712,312.3
1438937010.8,-96.6191598,39.1328326,3.1734204672,312.3
1438937011,-96.6191598,39.1328326,3.1726289687,312.3
1438937011.2,-96.6191597,39.1328326,3.1733829093,312.3
1438937011.4,-96.6191597,39.1328326,3.1725923645,312.3
1438937011.6,-96.6191597,39.1328326,3.1725923645,312.29
1438937011.8,-96.6191598,39.1328326,3.1733829089,312.3
1438937012,-96.6191597,39.1328327,3.1718211117,312.3
1438937012.2,-96.6191597,39.1328326,3.1733635171,312.3
1438937012.4,-96.6191598,39.1328326,3.1733228648,312.3
1438937012.6,-96.6191597,39.1328326,3.1725747243,312.29
1438937012.8,-96.6191598,39.1328326,3.1725923645,312.3
1438937013,-96.6191598,39.1328326,3.1718790168,312.29
1438937013.2,-96.6191598,39.1328326,3.1734010292,312.3
1438937013.4,-96.6191598,39.1328327,3.1725936252,312.29
1438937013.6,-96.6191598,39.1328326,3.1725340915,312.29
1438937013.8,-96.6191598,39.1328326,3.1733060996,312.29
1438937014,-96.6191598,39.1328327,3.171744888,312.29
1438937014.2,-96.6191598,39.1328326,3.1733648096,312.29
1438937014.4,-96.6191598,39.1328327,3.1725923645,312.29
1438937014.6,-96.6191598,39.1328327,3.1733228648,312.29
1438937014.8,-96.6191598,39.1328327,3.1740952423,312.29
1438937015,-96.6191598,39.1328327,3.1726100247,312.29
1438937015.2,-96.6191598,39.1328327,3.1726696725,312.3
1438937015.4,-96.6191598,39.1328327,3.1718962817,312.29
1438937015.6,-96.6191598,39.1328327,3.1726100247,312.28
1438937015.8,-96.6191598,39.1328327,3.1726519675,312.28
1438937016,-96.6191597,39.1328327,3.1725747243,312.28
1438937016.2,-96.6191597,39.1328327,3.1725152383,312.28
1438937016.4,-96.6191598,39.1328327,3.1718617712,312.28
1438937016.6,-96.6191598,39.1328327,3.1710892238,312.29
1438937016.8,-96.6191598,39.1328327,3.1719740992,312.28
1438937017,-96.6191598,39.1328327,3.1711647659,312.28
1438937017.2,-96.6191598,39.1328327,3.1719148013,312.29
1438937017.4,-96.6191598,39.1328327,3.1718026812,312.29
1438937017.6,-96.6191598,39.1328327,3.1724976623,312.29
1438937017.8,-96.6191598,39.1328327,3.1725152383,312.29
1438937018,-96.6191598,39.1328327,3.1710150548,312.29
1438937018.2,-96.6191598,39.1328327,3.1710892238,312.29
1438937018.4,-96.6191598,39.1328326,3.1718617715,312.3
1438937018.6,-96.6191598,39.1328326,3.1725747243,312.29
1438937018.8,-96.6191598,39.1328326,3.1732867766,312.29
1438937019,-96.6191598,39.1328326,3.1718026816,312.3
1438937019.2,-96.6191598,39.1328326,3.1717855001,312.3
1438937019.4,-96.6191597,39.1328327,3.171054473,312.29
1438937019.6,-96.6191597,39.1328327,3.1695528446,312.3
1438937019.8,-96.6191597,39.1328327,3.1710892238,312.3
