sensor_ID,utc_time,utc_date,channel_1_output,channel_2_output,channel_3_output,calculated_vi_1,calculated_vi_2
CCL_AC000304,161627.0,070515,0.05390,0.49420,0.10530,0.80300,3.69600
CCL_AC000259,161627.2,070515,0.05310,0.42090,0.10540,0.77600,0.59900
CCL_AC000304,161627.2,070515,0.05380,0.49550,0.10010,0.80400,3.95300
CCL_AC000259,161627.2,070515,0.05590,0.44640,0.10820,0.77800,0.61000
CCL_AC000304,161627.2,070515,0.05240,0.49300,0.09710,0.80800,4.07700
CCL_AC000259,161627.4,070515,0.05550,0.43970,0.10580,0.77600,0.61200
CCL_AC000304,161627.4,070515,0.05330,0.50460,0.09700,0.80900,4.20400
CCL_AC000259,161627.4,070515,0.05210,0.41500,0.10170,0.77700,0.60600
CCL_AC000304,161627.4,070515,0.05390,0.50450,0.10270,0.80700,3.91100
CCL_AC000259,161627.6,070515,0.05020,0.39380,0.09500,0.77400,0.61100
CCL_AC000304,161627.6,070515,0.05330,0.50810,0.10980,0.81000,3.62900
CCL_AC000259,161627.6,070515,0.04970,0.38910,0.09700,0.77300,0.60100
CCL_AC000304,161627.6,070515,0.05340,0.50020,0.09800,0.80700,4.10500
CCL_AC000259,161627.6,070515,0.04960,0.39790,0.09350,0.77800,0.61900
CCL_AC000304,161627.8,070515,0.05350,0.50320,0.09840,0.80800,4.11500
CCL_AC000259,161627.8,070515,0.05100,0.41010,0.10570,0.77900,0.59000
CCL_AC000304,161627.8,070515,0.05540,0.53610,0.10870,0.81300,3.93000
CCL_AC000259,161628.0,070515,0.05620,0.45290,0.11260,0.77900,0.60200
CCL_AC000304,161628.0,070515,0.05850,0.58960,0.12090,0.82000,3.87800
CCL_AC000259,161628.0,070515,0.05780,0.49920,0.12990,0.79300,0.58700
CCL_AC000304,161628.0,070515,0.05660,0.59060,0.12270,0.82500,3.81200
CCL_AC000259,161628.2,070515,0.05530,0.47440,0.12180,0.79100,0.59100
CCL_AC000304,161628.2,070515,0.05780,0.57290,0.12510,0.81700,3.58100
CCL_AC000259,161628.2,070515,0.05250,0.44570,0.11170,0.78900,0.59900
CCL_AC000304,161628.2,070515,0.05500,0.54740,0.11460,0.81800,3.77600
CCL_AC000259,161628.4,070515,0.05330,0.42740,0.10080,0.77800,0.61800
CCL_AC000304,161628.4,070515,0.05310,0.50730,0.10010,0.81100,4.06900
CCL_AC000259,161628.4,070515,0.05360,0.43320,0.10630,0.78000,0.60600
CCL_AC000304,161628.4,070515,0.05450,0.50560,0.10600,0.80500,3.77000
CCL_AC000259,161628.6,070515,0.05640,0.46540,0.11410,0.78400,0.60600
CCL_AC000304,161628.6,070515,0.05570,0.51000,0.09670,0.80300,4.27500
CCL_AC000259,161628.6,070515,0.05710,0.48300,0.11890,0.78900,0.60500
CCL_AC000304,161628.6,070515,0.05260,0.50660,0.10550,0.81200,3.80300
CCL_AC000259,161628.8,070515,0.05450,0.47090,0.11970,0.79300,0.59500
CCL_AC000304,161628.8,070515,0.05230,0.51710,0.11050,0.81600,3.68000
CCL_AC000259,161628.8,070515,0.05250,0.45700,0.12000,0.79400,0.58400
CCL_AC000304,161628.8,070515,0.05400,0.53450,0.10700,0.81600,3.99400
