BARCODE,X1,Y1,X2,Y2,X3,Y3,X4,Y4
15ASH20051,705774.1067,4334205.37,705774.1067,4334207.37,705774.5067,4334207.37,705774.5067,4334205.37
15ASH20050,705775.0058,4334206.119,705775.0058,4334208.119,705775.4058,4334208.119,705775.4058,4334206.119
15ASH20049,705775.718,4334206.13,705775.718,4334208.13,705776.118,4334208.13,705776.118,4334206.13
15ASH20048,705776.5939,4334205.399,705776.5939,4334207.399,705776.9939,4334207.399,705776.9939,4334205.399
15ASH20047,705777.3017,4334205.352,705777.3017,4334207.352,705777.7017,4334207.352,705777.7017,4334205.352
15ASH20046,705778.2536,4334206.176,705778.2536,4334208.176,705778.6536,4334208.176,705778.6536,4334206.176
15ASH20045,705778.951,4334206.09,705778.951,4334208.09,705779.351,4334208.09,705779.351,4334206.09
15ASH20044,705779.804,4334205.511,705779.804,4334207.511,705780.204,4334207.511,705780.204,4334205.511
15ASH20043,705780.5147,4334205.466,705780.5147,4334207.466,705780.9147,4334207.466,705780.9147,4334205.466
15ASH20042,705781.3819,4334206.18,705781.3819,4334208.18,705781.7819,4334208.18,705781.7819,4334206.18
15ASH20041,705782.0913,4334206.197,705782.0913,4334208.197,705782.4913,4334208.197,705782.4913,4334206.197
15ASH20040,705783.0287,4334205.452,705783.0287,4334207.452,705783.4287,4334207.452,705783.4287,4334205.452
15ASH20039,705783.7318,4334205.483,705783.7318,4334207.483,705784.1318,4334207.483,705784.1318,4334205.483
15ASH20038,705784.7715,4334206.225,705784.7715,4334208.225,705785.1715,4334208.225,705785.1715,4334206.225
15ASH20037,705785.4819,4334206.14,705785.4819,4334208.14,705785.8819,4334208.14,705785.8819,4334206.14
15ASH20073,705785.4964,4334202.848,705785.4964,4334204.848,705785.8964,4334204.848,705785.8964,4334202.848
15ASH20074,705784.7884,4334202.869,705784.7884,4334204.869,705785.1884,4334204.869,705785.1884,4334202.869
15ASH20075,705783.7982,4334201.966,705783.7982,4334203.966,705784.1982,4334203.966,705784.1982,4334201.966
15ASH20076,705783.084,4334202.069,705783.084,4334204.069,705783.484,4334204.069,705783.484,4334202.069
15ASH20077,705782.1895,4334202.724,705782.1895,4334204.724,705782.5895,4334204.724,705782.5895,4334202.724
15ASH20078,705781.4741,4334202.743,705781.4741,4334204.743,705781.8741,4334204.743,705781.8741,4334202.743
15ASH20079,705780.5968,4334202.17,705780.5968,4334204.17,705780.9968,4334204.17,705780.9968,4334202.17
15ASH20080,705779.8949,4334202.12,705779.8949,4334204.12,705780.2949,4334204.12,705780.2949,4334202.12
15ASH20081,705779.0089,4334202.771,705779.0089,4334204.771,705779.4089,4334204.771,705779.4089,4334202.771
