Sensor ID,Starting Time,Starting Date,Easting Offset,Northing Offset,Elevation Offset
CCL_AC000304,000000.000,040515,1.60,0.48,-0.45
CCL_AC000259,000000.000,040515,0.89,0.48,-0.45
